Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,Mouser Part Number,Height,Mouser Price/Stock,Manufacturer_Name
"C10, C9",2,22uF,C_0805_2012Metric,,GRM21BR60J226ME39K,,smt,"capacitor, US symbol",SMD_2terminal_chip_molded,GRM21BR60J226ME39K,,,
"C11, C7",2,100nF,C_0805_2012Metric,,GRM21BR71H104KA01K,,smt,"capacitor, US symbol",SMD_2terminal_chip_molded,GRM21BR71H104KA01K,,,
"C4, C5, C6",3,1uF,C_0805_2012Metric,,CL21B105KAFNNNE,,smt,"capacitor, US symbol",SMD_2terminal_chip_molded,CL21B105KAFNNNE,,,
C8,1,10uF,C_1206_3216Metric,,GRM31CR71E106KA12L,,smt,"Polarized capacitor, US symbol",SMD_2terminal_chip_molded,EEE1HA470P,,,
IC1,1,TLE94112ESXUMA1,SOP65P600X115-25N,,TLE94112ESXUMA1,,smt,Motor / Motion / Ignition Controllers & Drivers DC_MOTOR_CONTROL,,726-TLE94112ESXUMA1,1.15,https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/TLE94112ESXUMA1?qs=DPoM0jnrROUIR10ulGRXoA%3D%3D,Infineon
IC2,1,AP63203WU-7,AP63203WU7,,AP63203WU-7,,smt,Switching Voltage Regulators DCDC Conv HV Buck TSOT26 T&R 3K,,AP63203WU-7,1,,Diodes Incorporated
J1,1,Left Socket,PinSocket_1x20_P2.54mm_Vertical,,M20-7822046,,tht,"Generic connector, single row, 01x20, script generated",connector/pin_header_socket,M20-7822046,,,
J2,1,Right Socket,PinSocket_1x20_P2.54mm_Vertical,,M20-7822046,,tht,"Generic connector, single row, 01x20, script generated",connector/pin_header_socket,M20-7822046,,,
"J3, J4, J5",3,52207-0633,52207-0633,,52207-0633,,smt,"MOLEX - 52207-0633 - SOCKET, FFC/FPC, SMT, 1MM, 6WAY",,52207-0633,,,Molex
J6,1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,TYPE-C-31-M-12,,smt,USB 2.0-only 14P Type-C Receptacle connector,,TYPE-C-31-M-12,,,
L1,1,2.2uH,L_Bourns-SRN4018,,SRN4018-2R2M,,smt,Inductor,,SRN4018-2R2M,,,
"R1, R2, R3",3,5.1k,R_0805_2012Metric,,RC0805FR-075K1L,,smt,"Resistor, US symbol",SMD_2terminal_chip_molded,,,,
"R4, R5",2,1k,R_0805_2012Metric,,RC0805FR-071KL,,smt,"Resistor, US symbol",SMD_2terminal_chip_molded,RC0805FR-071KL,,,
SW1,1,Control,SW_PUSH-12mm,,B3F-4000,,tht,"Push button switch, generic, two pins",,B3F-4000,,,
U1,1,CYPD3177-24LQXQ,QFN24_CYPD3177_INF,,CYPD3177-24LQXQ,,smt,,,CYPD3177-24LQXQ,,,
