pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
65.405,-102.87,90.0,top,C10,GRM21BR60J226ME39K,,C_0805_2012Metric,22uF,smt
74.295,-111.125,-90.0,top,C11,GRM21BR71H104KA01K,,C_0805_2012Metric,100nF,smt
73.025,-87.63,0.0,top,C4,CL21B105KAFNNNE,,C_0805_2012Metric,1uF,smt
75.565,-102.87,-90.0,top,C5,CL21B105KAFNNNE,,C_0805_2012Metric,1uF,smt
73.025,-102.87,-90.0,top,C6,CL21B105KAFNNNE,,C_0805_2012Metric,1uF,smt
70.485,-102.87,-90.0,top,C7,GRM21BR71H104KA01K,,C_0805_2012Metric,100nF,smt
73.025,-85.09,0.0,top,C8,GRM31CR71E106KA12L,,C_1206_3216Metric,10uF,smt
67.945,-102.87,90.0,top,C9,GRM21BR60J226ME39K,,C_0805_2012Metric,22uF,smt
112.395,-74.295,-90.0,top,IC1,TLE94112ESXUMA1,,SOP65P600X115-25N,TLE94112ESXUMA1,smt
69.85,-108.585,180.0,top,IC2,AP63203WU-7,,AP63203WU7,AP63203WU-7,smt
90.17,-64.77,0.0,top,J1,M20-7822046,,PinSocket_1x20_P2.54mm_Vertical,Left Socket,tht
105.41,-64.77,0.0,top,J2,M20-7822046,,PinSocket_1x20_P2.54mm_Vertical,Right Socket,tht
123.876235,-88.9,90.0,top,J3,52207-0633,,52207-0633,52207-0633,smt
123.876235,-72.39,90.0,top,J4,52207-0633,,52207-0633,52207-0633,smt
123.876235,-105.41,90.0,top,J5,52207-0633,,52207-0633,52207-0633,smt
64.135,-92.075,-90.0,top,J6,TYPE-C-31-M-12,,USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB_C_Receptacle_USB2.0_14P,smt
80.645,-109.855,90.0,top,L1,SRN4018-2R2M,,L_Bourns-SRN4018,2.2uH,smt
78.74,-104.775,0.0,top,R1,RC0805FR-075K1L,,R_0805_2012Metric,5.1k,smt
78.74,-100.33,0.0,top,R2,RC0805FR-075K1L,,R_0805_2012Metric,5.1k,smt
82.55,-100.33,0.0,top,R3,RC0805FR-075K1L,,R_0805_2012Metric,5.1k,smt
82.55,-104.775,0.0,top,R4,RC0805FR-071KL,,R_0805_2012Metric,1k,smt
82.55,-97.155,0.0,top,R5,RC0805FR-071KL,,R_0805_2012Metric,1k,smt
71.755,-80.01,90.0,top,SW1,B3F-4000,,SW_PUSH-12mm,Control,tht
76.835,-93.98,90.0,top,U1,CYPD3177-24LQXQ,,QFN24_CYPD3177_INF,CYPD3177-24LQXQ,smt
