Designator,Mid X,Mid Y,Rotation,Layer
C10,65.405,-102.87,90.0,top
C11,74.295,-111.125,270.0,top
C4,73.025,-87.63,0.0,top
C5,75.565,-102.87,270.0,top
C6,73.025,-102.87,270.0,top
C7,70.485,-102.87,270.0,top
C8,73.025,-85.09,0.0,top
C9,67.945,-102.87,90.0,top
IC1,112.395,-74.295,270.0,top
IC2,69.85,-108.585,180.0,top
J1,90.17,-88.9,0.0,top
J2,105.41,-88.9,0.0,top
J3,123.876235,-88.9,90.0,top
J4,123.876235,-72.39,90.0,top
J5,123.876235,-105.41,90.0,top
J6,64.135,-92.075,270.0,top
L1,80.645,-109.855,90.0,top
R1,78.74,-104.775,0.0,top
R2,78.74,-100.33,0.0,top
R3,82.55,-100.33,0.0,top
R4,82.55,-104.775,0.0,top
R5,82.55,-97.155,0.0,top
SW1,74.255,-73.76,90.0,top
U1,76.835,-93.98,90.0,top
